epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,1624.45,1.2761,1.72165,1.11596,0.00744,0.56921,0.76699,0.51307,0.58359,0.32096,0.73783,0.4972,0.54864,0.23675,1.69181,2.53461,1.87123,0.01307,0,0.000396246,0.000396246,0.000396246
79,1643.96,1.21693,1.62492,1.11623,0.0082,0.55856,0.75941,0.52894,0.58383,0.31512,0.65258,0.4916,0.52209,0.23641,1.70975,2.54257,1.8008,0.0136,0,0.000379743,0.000379743,0.000379743
80,1663.47,1.1935,1.63371,1.09117,0.00806,0.65562,0.70801,0.574,0.60417,0.34884,0.64646,0.52894,0.53466,0.24004,1.68027,2.55193,1.7708,0.01308,0,0.000363239,0.000363239,0.000363239
81,1684.31,1.17499,1.72179,1.09173,0.00738,0.58191,0.73243,0.56492,0.6152,0.35915,0.67869,0.53501,0.55094,0.25245,1.66831,2.54751,1.74846,0.01279,0,0.000346736,0.000346736,0.000346736
82,1704.45,1.19457,1.52136,1.02287,0.00829,0.72308,0.7597,0.58973,0.63479,0.37192,0.69169,0.53844,0.56622,0.25998,1.66732,2.52698,1.76283,0.01257,0,0.000330233,0.000330233,0.000330233
83,1734.85,1.14098,1.60036,1.02472,0.00751,0.61263,0.86892,0.59741,0.64158,0.38356,0.8342,0.57554,0.60977,0.2732,1.667,2.54155,1.75386,0.01272,0,0.000313729,0.000313729,0.000313729
84,1756.71,1.25028,1.64229,1.04992,0.00707,0.7258,0.70947,0.55836,0.62912,0.36714,0.69624,0.55042,0.60691,0.25868,1.72447,2.58643,1.74882,0.01364,0,0.000297226,0.000297226,0.000297226
85,1777.61,1.19707,1.56695,1.07808,0.00728,0.60856,0.69223,0.58777,0.62693,0.3559,0.68074,0.57983,0.60816,0.26789,1.7617,2.62261,1.7426,0.01418,0,0.000280723,0.000280723,0.000280723
86,1797.02,1.21347,1.67385,1.07204,0.00701,0.55016,0.75087,0.54669,0.62699,0.35533,0.67769,0.56568,0.60841,0.27293,1.75657,2.71421,1.80976,0.01396,0,0.00026422,0.00026422,0.00026422
87,1816.21,1.16505,1.5692,1.00264,0.00742,0.54025,0.72259,0.5419,0.62558,0.36368,0.68398,0.5957,0.61996,0.27905,1.77869,2.79393,1.77918,0.01395,0,0.000247716,0.000247716,0.000247716
88,1835.38,1.20272,1.45884,1.00721,0.0075,0.53099,0.64712,0.62155,0.62877,0.36645,0.6482,0.62079,0.61826,0.27565,1.76819,2.87566,1.76945,0.01373,0,0.000231213,0.000231213,0.000231213
89,1854.99,1.13363,1.59709,1.00151,0.00703,0.52576,0.73311,0.55042,0.6282,0.36314,0.67472,0.5957,0.61745,0.27679,1.75947,2.90051,1.77663,0.01359,0,0.00021471,0.00021471,0.00021471
90,1875.44,1.17834,1.66261,1.05027,0.00762,0.62248,0.72894,0.57157,0.62584,0.35938,0.66663,0.60364,0.61428,0.26859,1.75475,2.96651,1.7444,0.0136,0,0.000198206,0.000198206,0.000198206
91,1897.94,1.03341,1.33463,1.14472,0.00912,0.3859,0.72517,0.57838,0.63696,0.36268,0.70725,0.57983,0.6277,0.27218,1.74325,2.93446,1.69194,0.01414,0,0.000181703,0.000181703,0.000181703
92,1925.09,1.13714,1.49442,1.19601,0.00854,0.51997,0.69875,0.57983,0.63937,0.35435,0.67522,0.5719,0.61354,0.26975,1.7248,3.02513,1.67786,0.01407,0,0.0001652,0.0001652,0.0001652
93,1944.99,1.0868,1.44249,1.00935,0.00809,0.38095,0.68497,0.57983,0.6316,0.3506,0.66174,0.5719,0.60961,0.26178,1.72342,3.02445,1.68599,0.01385,0,0.000148696,0.000148696,0.000148696
94,1963.66,1.07693,1.4262,1.01834,0.00821,0.41176,0.70529,0.5957,0.62598,0.34024,0.68769,0.58777,0.60445,0.25109,1.73102,2.92412,1.69317,0.01441,0,0.000132193,0.000132193,0.000132193
95,1982.42,1.1075,1.5041,1.05406,0.00828,0.36901,0.67155,0.52894,0.58186,0.33589,0.6839,0.54248,0.60714,0.25231,1.67932,2.94565,1.81582,0.0138,0,0.00011569,0.00011569,0.00011569
96,2001.19,1.09798,1.24716,0.95657,0.00821,0.34645,0.72192,0.50856,0.57861,0.33607,0.83774,0.48133,0.5954,0.24261,1.68154,2.97453,1.82645,0.01357,0,9.91865e-05,9.91865e-05,9.91865e-05
97,2022.8,1.02009,1.39731,0.95367,0.00714,0.39429,0.82818,0.46779,0.57662,0.33904,0.85246,0.48133,0.59484,0.23988,1.6922,2.97569,1.8142,0.01383,0,8.26832e-05,8.26832e-05,8.26832e-05
98,2041.86,1.05888,1.32471,1.01781,0.00726,0.46839,0.86613,0.50238,0.57494,0.34167,0.89273,0.50988,0.58825,0.24054,1.69823,2.98605,1.81258,0.01364,0,6.61799e-05,6.61799e-05,6.61799e-05
99,2060.66,1.00967,1.29278,1.01058,0.00793,0.30276,0.85676,0.49585,0.57153,0.34385,0.88052,0.50939,0.5868,0.24439,1.69941,2.97632,1.81148,0.0137,0,4.96766e-05,4.96766e-05,4.96766e-05
100,2079.42,1.13956,1.52076,1.05646,0.00886,0.37901,0.8563,0.49663,0.5618,0.33082,0.88071,0.50968,0.59154,0.24674,1.69215,2.99297,1.81126,0.0135,0,3.31733e-05,3.31733e-05,3.31733e-05
